,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
188,male,group B,some high school,free/reduced,none,48,52,45
194,female,group C,master's degree,standard,completed,69,84,85
225,female,group E,master's degree,free/reduced,none,45,56,54
580,female,group D,some high school,standard,none,81,97,96
428,male,group A,some high school,free/reduced,none,65,59,53
244,male,group D,some high school,standard,none,75,74,69
588,female,group C,some college,standard,none,54,64,65
508,male,group C,master's degree,standard,none,79,78,77
966,male,group A,some high school,standard,completed,66,68,64
12,female,group B,high school,standard,none,65,81,73
765,female,group B,high school,standard,none,74,72,72
950,male,group E,high school,standard,none,94,73,71
994,male,group A,high school,standard,none,63,63,62
905,male,group D,some college,standard,none,88,77,77
816,female,group A,bachelor's degree,standard,none,45,59,64
813,male,group E,some high school,standard,completed,87,84,76
641,female,group D,associate's degree,free/reduced,completed,74,88,90
875,male,group C,some college,free/reduced,none,80,64,66
235,male,group D,associate's degree,standard,none,80,75,77
593,female,group E,high school,standard,none,74,76,73
603,male,group D,high school,free/reduced,none,60,57,51
806,female,group D,some college,free/reduced,none,64,74,75
39,male,group B,associate's degree,free/reduced,none,57,56,57
754,male,group C,associate's degree,free/reduced,none,58,55,53
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
590,male,group C,some college,free/reduced,none,58,57,54
682,male,group B,high school,standard,none,62,55,54
190,female,group E,associate's degree,standard,none,66,65,69
880,male,group C,bachelor's degree,standard,completed,63,64,66
143,male,group A,high school,standard,none,57,43,47
684,male,group B,some college,standard,completed,62,66,68
617,male,group D,bachelor's degree,standard,none,88,78,83
853,male,group E,some high school,standard,none,82,67,61
140,female,group D,some high school,standard,none,76,72,71
252,female,group B,some high school,standard,completed,60,70,70
410,female,group D,master's degree,standard,completed,70,71,74
203,female,group B,associate's degree,standard,none,57,69,68
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
483,male,group A,high school,standard,none,59,52,46
555,female,group C,some college,free/reduced,none,32,39,33
592,male,group E,bachelor's degree,standard,none,68,68,64
519,female,group B,high school,free/reduced,completed,67,78,79
94,female,group B,some college,standard,none,79,86,92
294,male,group D,high school,free/reduced,completed,78,77,80
57,male,group D,associate's degree,standard,none,52,55,49
800,male,group C,some high school,standard,completed,67,73,68
217,female,group C,high school,free/reduced,none,34,42,39
565,male,group B,associate's degree,standard,none,48,43,45
486,male,group D,some college,free/reduced,none,61,47,56
197,male,group E,high school,free/reduced,none,55,56,51
163,male,group C,high school,standard,none,52,53,49
642,female,group B,some high school,free/reduced,none,72,81,79
638,male,group E,some college,standard,none,86,76,74
264,male,group D,high school,standard,none,76,73,68
536,male,group C,associate's degree,standard,completed,51,60,58
249,male,group C,high school,standard,none,68,60,53
